stop_id	stop_name
23550	Colombo St near Fisher Ave
32011	Colombo St near Fisher Ave
13750	Stanmore Rd near Gloucester St
43140	Highsted Rd
12420	Stanmore Rd near Alexandra St
54667	Kaiapoi Central Park & Ride
42294	Port Hills Rd near Nuttall Dr
10246	Maidstone Rd near Derenzy Pl
20498	Queenspark Dr near Chadlington St
44469	Main North Rd near Hewitts 
47976	James St near Boundary Rd
25706	Waterloo Rd near Kissel St
19025	Cranford St near Mcfaddens Rd
18177	Wainoni Rd near Ottawa 
42287	Main North Rd near Lees 
23521	Ferry Rd near Bordesley St
24851	Carmen Rd near Waterloo 
15904	Kainga
33330	Cashmere Rd near Mavin 
32484	Glovers Rd near Larsens 
53349	Silverstream
12871	Papanui Rd near Mays 
10694	Whitby St near Everest 
32007	Buchanans Rd near Dumfries Dr
13721	Beach Rd near Effingham St
10214	Avonhead Mall
46631	Merrin St near Withells Rd
42273	Port Hills Rd near Avoca Valley 
45301	Burwood Rd
44453	King St near Royal Tce
18183	Wainoni Rd near Avonside Dr
25710	Waterloo Rd
23532	Hackthorne Rd near Westenra Tce
54680	Travis Road near Atlantis Street
32478	Roydvale Ave
12408	Burwood Rd near Lakewood Dr
15915	Main North Rd near Link 
51174	Gardiners Rd near Sawyers Arms 
54202	Penruddock Rise near Sedbergh Place
10222	Withells Rd near Apsley Dr
13732	Burwood Rd near Mairehau 
12885	Papanui Rd near Normans 
19485	Harewood Rd near Cotswold Ave
23509	Ferry Rd near Manning Pl
19002	Claridges Rd near Opal Pl
39090	Bassett St near Tobin Ln
43117	Rocking Horse Rd near Heron St
24833	Yaldhurst Rd near Corfe St
33798	Halswell Rd nearHalswell Junction 
51188	Gardiners Rd near Sawyers Arms 
54698	Acacia Avenue near Beech Dr
33311	Cashmere Rd near Kaiwara St
53365	Richill St near Main North Rd
54218	Prestons Rd near Alpine View
42260	Main North Rd near Williams St
24846	Russley
42256	Port Hills Rd near Chapmans 
19018	Highsted Rd near Ludhiana St
39088	New Brighton Rd
45761	Harewood Rd near Waimakariri 
18165	Wainoni Rd near Cuffs 
43101	Memorial Ave near Ilam Rd
19492	Bishopdale Mall (Harewood Rd)
33780	Halswell Rd near Larsens 
51190	Woodham Rd near Ngarimu St
23513	Ferry Rd near Isabella Pl
10205	Avonhead Mall
54225	Innes Rd near Nancy Ave
32450	Lake Terrace Rd near De Ville Pl
53377	Lake Tce Rd near New Brighton 
33307	Hoon Hay Rd
29294	Main North Rd near Queen Elizabeth II Dr
13713	Beach Rd near Bower Ave
12863	Papanui Rd near Tomes 
10687	Rossall St near Holmwood Rd
51518	Corsair Dr near Harvard Ave
37692	Riccarton Rd near Balgay St
11062	Lincoln University
12393	Mairehau Rd near Royal Pk Dr
26557	Estuary Rd
28732	Opawa Rd near Ensors 
24378	Yaldhurst Rd near Angela St
40869	Beach Rd near Britannia St
22194	Lyttelton St near Glynne Cres
50670	Hansons Ln near Arthur St
17604	Memorial Ave near Roydvale 
38546	St Albans near Devonport Ln
18938	Tuam St near Saxon 
53706	Gloucester St near Fitzgerald Ave
51525	Corsair Dr near Gallaghan Cl
52856	Brookside Rd near Stonebrook Dr
13249	Kahu Rd near Titoki St
14581	Hagley Ave near Selwyn St
13254	Clyde Rd near Arts 
47003	Mcgregors Rd near Ruru 
40853	Halswell Rd near Warren Cres
40848	Wainoni Rd near Avonside Dr
52860	Rolleston (Kidman St)
17615	Memorial Ave near Grangewood Ln
38533	Springfield Rd near Kinloch St
53710	Gloucester St near Fitzgerald Ave
16764	Wairakei Rd near Blighs 
36359	Mccormacks Bay Rd near Maffeys 
50689	Hansons Ln near Haynes Ave
51539	The Runway near Kittyhawk Ave
50207	Godley Rd
10192	Hawthornden Rd near Henridge Pl
13220	Kotare St near Kahu Rd
11043	Centaurus Rd near Austin Kirk Ln
